																		
		Price Matrix for Scan-to-BIM																
																		
																		
	1	Residential Standard (Single Family)																
		Independent housing units designed for individual households, the predominant form in private, single-occupancy neighborhoods.																
																		
																		
		Discipline →	Architecture				Structure				MEPF				Site/topography			
		Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
		0-5k	0.759	1.035	1.359	1.645	0.105	0.165	0.195	0.225	0.075	0.105	0.120	0.135	0.060	0.072	0.090	0.120
		5k-10k	0.725	1.001	1.280	1.550	0.090	0.150	0.165	0.195	0.060	0.090	0.105	0.120	0.060	0.072	0.090	0.120
		10k-20k	0.630	0.882	1.132	1.372	0.075	0.135	0.150	0.180	0.050	0.075	0.088	0.100	0.060	0.066	0.078	0.108
		20k-30k	0.546	0.776	0.955	1.106	0.050	0.100	0.113	0.138	0.050	0.075	0.088	0.100	0.050	0.055	0.065	0.090
		30k-40k	0.546	0.748	0.952	1.099	0.030	0.070	0.080	0.100	0.030	0.050	0.060	0.070	0.050	0.050	0.060	0.080
		40k-50k	0.518	0.719	0.920	1.062	0.030	0.060	0.070	0.090	0.030	0.050	0.060	0.070	0.050	0.050	0.060	0.080
		50k-75k	0.431	0.661	0.756	0.874	0.020	0.050	0.060	0.080	0.030	0.050	0.060	0.070	0.050	0.050	0.060	0.070
		75k-100k	0.316	0.489	0.635	0.735	0.020	0.040	0.050	0.070	0.020	0.040	0.050	0.060	0.050	0.050	0.050	0.070
		100k+	0.230	0.345	0.424	0.492	0.020	0.030	0.040	0.060	0.020	0.030	0.040	0.050	0.050	0.050	0.050	0.060
																		
	2	Residential Standard (Multi Family)																
		Housing classification for structures designed to accommodate multiple separate dwelling units within a single building.																
																		
																		
		Discipline →	Architecture				Structure				MEPF				Site/topography			
		Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
		0-5k	0.828	1.104	1.428	1.711	0.120	0.180	0.210	0.240	0.075	0.105	0.120	0.135	0.060	0.072	0.090	0.120
		5k-10k	0.725	0.977	1.235	1.481	0.105	0.165	0.180	0.210	0.075	0.105	0.120	0.135	0.060	0.072	0.090	0.120
		10k-20k	0.633	0.863	1.093	1.311	0.075	0.125	0.138	0.163	0.050	0.075	0.088	0.100	0.060	0.055	0.065	0.090
		20k-30k	0.518	0.699	0.912	1.046	0.063	0.113	0.125	0.150	0.050	0.075	0.088	0.100	0.050	0.055	0.065	0.090
		30k-40k	0.437	0.598	0.787	0.902	0.040	0.080	0.090	0.110	0.040	0.060	0.070	0.080	0.050	0.050	0.060	0.080
		40k-50k	0.360	0.500	0.660	0.760	0.030	0.070	0.080	0.100	0.030	0.050	0.060	0.070	0.050	0.050	0.060	0.080
		50k-75k	0.276	0.414	0.473	0.542	0.020	0.060	0.070	0.090	0.030	0.050	0.060	0.070	0.050	0.050	0.060	0.070
		75k-100k	0.207	0.311	0.400	0.459	0.020	0.050	0.060	0.080	0.030	0.050	0.060	0.070	0.050	0.050	0.050	0.070
		100k+	0.155	0.224	0.273	0.314	0.020	0.040	0.050	0.070	0.020	0.040	0.050	0.060	0.050	0.050	0.050	0.060
																		
	3	Residential Luxury 																
		High-end, upscale living spaces with premium amenities, exceptional design, and exclusive features, offering a luxurious lifestyle.																
																		
																		
		Discipline →	Architecture				Structure				MEPF				Site/topography			
		Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
		0-5k	0.932	1.208	1.532	1.815	0.150	0.210	0.240	0.270	0.105	0.135	0.150	0.165	0.045	0.051	0.060	0.075
		5k-10k	0.819	1.071	1.329	1.575	0.135	0.195	0.210	0.240	0.105	0.135	0.150	0.165	0.045	0.051	0.060	0.075
		10k-20k	0.719	0.949	1.179	1.397	0.100	0.150	0.163	0.188	0.075	0.100	0.113	0.125	0.038	0.040	0.045	0.058
		20k-30k	0.622	0.829	0.989	1.124	0.088	0.138	0.150	0.175	0.075	0.100	0.113	0.125	0.038	0.040	0.045	0.058
		30k-40k	0.506	0.690	0.833	0.948	0.060	0.100	0.110	0.130	0.060	0.080	0.090	0.100	0.030	0.030	0.034	0.042
		40k-50k	0.420	0.580	0.700	0.800	0.050	0.090	0.100	0.120	0.050	0.070	0.080	0.090	0.030	0.030	0.034	0.042
		50k-75k	0.311	0.449	0.507	0.576	0.040	0.080	0.090	0.110	0.050	0.070	0.080	0.090	0.030	0.030	0.034	0.038
		75k-100k	0.242	0.345	0.435	0.493	0.040	0.070	0.080	0.100	0.050	0.070	0.080	0.090	0.030	0.030	0.030	0.038
		100k+	0.190	0.259	0.307	0.348	0.040	0.060	0.070	0.090	0.040	0.060	0.070	0.080	0.030	0.030	0.030	0.034
																		
	4	Commercial/Office																
		A structure designed and designated for business and professional activities, providing office spaces and facilities for commercial enterprises.																
																		
																		
		Discipline →	Architecture				Structure				MEPF				Site/topography			
		Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
		0-5k	0.725	1.001	1.325	1.608	0.135	0.195	0.225	0.255	0.120	0.150	0.165	0.180	0.030	0.036	0.045	0.060
		5k-10k	0.690	0.966	1.249	1.518	0.120	0.180	0.195	0.225	0.120	0.150	0.165	0.180	0.030	0.036	0.045	0.060
		10k-20k	0.599	0.851	1.103	1.342	0.105	0.165	0.180	0.210	0.105	0.135	0.150	0.165	0.025	0.028	0.033	0.045
		20k-30k	0.518	0.748	0.926	1.075	0.075	0.125	0.138	0.163	0.088	0.113	0.125	0.138	0.025	0.028	0.033	0.045
		30k-40k	0.414	0.622	0.808	0.938	0.063	0.113	0.125	0.150	0.088	0.113	0.125	0.138	0.020	0.020	0.024	0.032
		40k-50k	0.322	0.529	0.690	0.805	0.040	0.080	0.090	0.110	0.060	0.080	///	0.100	0.020	0.020	0.024	0.032
		50k-75k	0.260	0.420	0.488	0.568	0.030	0.070	0.080	0.100	0.060	0.080	0.090	0.100	0.020	0.020	0.024	0.028
		75k-100k	0.155	0.259	0.348	0.407	0.030	0.060	0.070	0.090	0.060	0.080	0.090	0.100	0.020	0.020	0.020	0.028
		100k+	0.104	0.173	0.221	0.262	0.030	0.050	0.060	0.080	0.038	0.053	0.060	0.068	0.020	0.020	0.020	0.024
																		
	5	Retail/Restaurants/Cafe																
		A commercial structure designed for the sale of goods or provision of food services, catering to retail, dining, and dietary experiences.																
																		
																		
		Discipline →	Architecture				Structure				MEPF				Site/topography			
		Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
		0-5k	0.897	1.173	1.497	1.780	0.105	0.165	0.195	0.225	0.105	0.135	0.150	0.165	0.030	0.036	0.045	0.060
		5k-10k	0.863	1.139	1.421	1.691	0.090	0.150	0.165	0.195	0.105	0.135	0.150	0.165	0.030	0.036	0.045	0.060
		10k-20k	0.756	1.008	1.260	1.499	0.075	0.135	0.150	0.180	0.090	0.120	0.135	0.150	0.025	0.028	0.033	0.045
		20k-30k	0.633	0.863	1.070	1.219	0.050	0.100	0.113	0.138	0.075	0.100	0.113	0.125	0.025	0.028	0.033	0.045
		30k-40k	0.570	0.699	0.912	1.041	0.038	0.088	0.100	0.125	0.075	0.100	0.113	0.125	0.020	0.020	0.024	0.032
		40k-50k	0.437	0.598	0.782	0.897	0.038	0.075	0.088	0.113	0.063	0.088	0.100	0.113	0.020	0.020	0.024	0.032
		50k-75k	0.340	0.500	0.568	0.648	0.020	0.050	0.060	0.080	0.050	0.070	0.080	0.090	0.020	0.020	0.024	0.028
		75k-100k	0.224	0.328	0.417	0.476	0.020	0.040	0.050	0.070	0.050	0.070	0.080	0.090	0.020	0.020	0.020	0.028
		100k+	0.173	0.242	0.290	0.331	0.015	0.023	0.030	0.045	0.030	0.045	0.053	0.060	0.020	0.020	0.020	0.024
																		
	6	Kitchen space/ Catering Kitchen																
		Dedicated area equipped for food preparation, often utilized for professional catering services or large-scale culinary operations.																
																		
																		
		Discipline →	Architecture				Structure				MEPF				Site/topography			
		Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
		0-5k	0.725	1.001	1.325	1.608	0.150	0.210	0.240	0.270	0.135	0.165	0.180	0.195	0.030	0.036	0.045	0.060
		5k-10k	0.630	0.882	1.140	1.386	0.135	0.195	0.210	0.240	0.135	0.165	0.180	0.195	0.030	0.036	0.045	0.060
		10k-20k	0.546	0.776	1.006	1.225	0.120	0.180	0.195	0.225	0.120	0.150	0.165	0.180	0.025	0.028	0.033	0.045
		20k-30k	0.466	0.673	0.834	0.969	0.088	0.138	0.150	0.175	0.100	0.125	0.138	0.150	0.025	0.028	0.033	0.045
		30k-40k	0.391	0.575	0.718	0.833	0.075	0.125	0.138	0.163	0.100	0.125	0.138	0.150	0.020	0.020	0.024	0.032
		40k-50k	0.320	0.480	0.600	0.700	0.063	0.113	0.125	0.150	0.088	0.113	0.125	0.138	0.020	0.020	0.024	0.032
		50k-75k	0.224	0.362	0.421	0.490	0.040	0.080	0.090	0.110	0.070	0.090	0.100	0.110	0.020	0.020	0.024	0.028
		75k-100k	0.155	0.259	0.348	0.407	0.040	0.070	0.080	0.100	0.070	0.090	0.100	0.110	0.020	0.020	0.020	0.028
		100k+	0.104	0.173	0.221	0.262	0.040	0.060	0.070	0.090	0.060	0.080	0.090	0.100	0.020	0.020	0.020	0.024
																		
	7	Schools/ College Campus/ Education Building																
		An educational facility or complex providing classrooms, administrative offices, and recreational spaces to support academic activities and student development.																
																		
																		
		Discipline →	Architecture				Structure				MEPF				Site/topography			
		Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
		0-5k	0.794	1.070	1.394	1.677	0.120	0.180	0.210	0.240	0.090	0.120	0.135	0.150	0.060	0.066	0.075	0.090
		5k-10k	0.693	0.945	1.203	1.449	0.105	0.165	0.180	0.210	0.090	0.120	0.135	0.150	0.060	0.066	0.075	0.090
		10k-20k	0.604	0.834	1.064	1.282	0.090	0.150	0.165	0.195	0.075	0.105	0.120	0.135	0.050	0.053	0.058	0.070
		20k-30k	0.518	0.725	0.886	1.020	0.063	0.113	0.125	0.150	0.063	0.088	0.100	0.113	0.050	0.053	0.058	0.070
		30k-40k	0.414	0.575	0.764	0.879	0.050	0.100	0.113	0.138	0.063	0.088	0.100	0.113	0.040	0.040	0.044	0.052
		40k-50k	0.340	0.480	0.640	0.740	0.030	0.070	0.080	0.100	0.040	0.060	0.070	0.080	0.040	0.040	0.044	0.052
		50k-75k	0.242	0.380	0.455	0.524	0.020	0.060	0.070	0.090	0.040	0.060	0.070	0.080	0.040	0.040	0.044	0.048
		75k-100k	0.190	0.293	0.383	0.442	0.020	0.050	0.060	0.080	0.040	0.060	0.070	0.080	0.040	0.040	0.040	0.048
		100k+	0.138	0.207	0.255	0.297	0.020	0.040	0.050	0.070	0.030	0.050	0.060	0.070	0.040	0.040	0.040	0.044
																		
	8	Hotel/Theatre/Museum																
		A multi-functional establishment offering accommodation, entertainment performances, and curated exhibits, providing diverse experiences for guests and visitors.																
																		
																		
		Discipline →	Architecture				Structure				MEPF				Site/topography			
		Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
		0-5k	0.932	1.208	1.532	1.815	0.150	0.210	0.240	0.270	0.105	0.135	0.150	0.165	0.045	0.051	0.060	0.075
		5k-10k	0.819	1.071	1.329	1.575	0.135	0.195	0.210	0.240	0.105	0.135	0.150	0.165	0.045	0.051	0.060	0.075
		10k-20k	0.719	0.949	1.179	1.397	0.120	0.180	0.195	0.225	0.090	0.120	0.135	0.150	0.038	0.040	0.045	0.058
		20k-30k	0.596	0.751	0.989	1.124	0.088	0.138	0.150	0.175	0.075	0.100	0.113	0.125	0.038	0.040	0.045	0.058
		30k-40k	0.483	0.644	0.833	0.948	0.075	0.125	0.138	0.163	0.075	0.100	0.113	0.125	0.030	0.030	0.034	0.042
		40k-50k	0.380	0.500	0.700	0.800	0.063	0.113	0.125	0.150	0.063	0.088	0.100	0.113	0.030	0.030	0.034	0.042
		50k-75k	0.276	0.414	0.507	0.576	0.040	0.080	0.090	0.110	0.050	0.070	0.080	0.090	0.030	0.030	0.034	0.038
		75k-100k	0.207	0.345	0.435	0.493	0.040	0.070	0.080	0.100	0.050	0.070	0.080	0.090	0.030	0.030	0.030	0.038
		100k+	0.190	0.259	0.307	0.348	0.030	0.045	0.053	0.068	0.030	0.045	0.053	0.060	0.030	0.030	0.030	0.034
																		
	9	Hospitals/ Mixed use																
		A facility combining medical services within a diverse environment, featuring a mix of healthcare spaces along with commercial or residential components.																
																		
																		
		Discipline →	Architecture				Structure				MEPF				Site/topography			
		Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
		0-5k	0.725	1.001	1.325	1.608	0.135	0.195	0.225	0.255	0.135	0.165	0.180	0.195	0.045	0.051	0.060	0.075
		5k-10k	0.630	0.882	1.140	1.386	0.120	0.180	0.195	0.225	0.135	0.165	0.180	0.195	0.045	0.051	0.060	0.075
		10k-20k	0.546	0.776	1.006	1.225	0.105	0.165	0.180	0.210	0.120	0.150	0.165	0.180	0.038	0.040	0.045	0.058
		20k-30k	0.466	0.673	0.834	0.969	0.075	0.125	0.138	0.163	0.100	0.125	0.138	0.150	0.038	0.040	0.045	0.058
		30k-40k	0.391	0.552	0.741	0.856	0.063	0.113	0.125	0.150	0.100	0.125	0.138	0.150	0.030	0.030	0.034	0.042
		40k-50k	0.320	0.460	0.620	0.720	0.050	0.100	0.113	0.138	0.088	0.113	0.125	0.138	0.030	0.030	0.034	0.042
		50k-75k	0.242	0.380	0.438	0.507	0.030	0.070	0.080	0.100	0.070	0.090	0.100	0.110	0.030	0.030	0.034	0.038
		75k-100k	0.173	0.276	0.366	0.424	0.030	0.060	0.070	0.090	0.070	0.090	0.100	0.110	0.030	0.030	0.030	0.038
		100k+	0.121	0.190	0.238	0.279	0.023	0.038	0.045	0.060	0.045	0.060	0.068	0.075	0.030	0.030	0.030	0.034
																x		
	10	Mechanical Room/Utility Room (MEPF)																
		A designated space housing mechanical, electrical, plumbing, and fire protection systems, centralizing utilities for efficient building operations.																
																		
																		
		Discipline →	Architecture				Structure				MEPF				Site/topography			
		Area ↓	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+	LOD 200	LOD 300	LOD 350	LOD 350+
		0-5k	0.656	0.932	1.256	1.539	0.120	0.180	0.210	0.240	0.270	0.300	0.315	0.330	0.030	0.036	0.045	0.060
		5k-10k	0.567	0.819	1.077	1.323	0.105	0.165	0.180	0.210	0.270	0.300	0.315	0.330	0.030	0.036	0.045	0.060
		10k-20k	0.489	0.719	0.949	1.167	0.090	0.150	0.165	0.195	0.255	0.285	0.300	0.315	0.025	0.028	0.033	0.045
