Category,Product / Service,Description,SKU,Type,Price
S2P,Scan2Plan Commercial - LoD 200 (INT-ONLY),"Scan2Plan Commercial Service for the property located at ______ _____ Scan2Plan will provide BIM existing conditions documentation for the _________ sqft building. Includes interior LiDAR point cloud capture, registration, modeling, QC and project management. Scanning and delivery times depend on the total area scanned and modeled. Deliverables include: • Total Square Footage Audit • Colorized Point Cloud (.rcp format) • LoD 200 Revit Model - (Approximate Geometry / Schematic Level) Project Type: Feasibility, Concept Design, Permits, Purpose: Diagrammatic geometry, spatial validation",S2P COM INT 200,Service,0
S2P,Scan2Plan Commercial - LoD 300,"Scan2Plan Commercial Service for the property located at ______ _____ Scan2Plan will provide BIM existing conditions documentation for the _________ sqft building. Includes interior and exterior LiDAR point cloud capture, registration, modeling, QC and project management. Scanning and delivery times depend on the total area scanned and modeled. Deliverables include: • Total Square Footage Audit • Colorized Point Cloud (.rcp format) • LoD 300 Revit Model (Accurate Geometry / Construction‑Ready) Project Type: Renovations, Retrofits, Purpose: Accurate geometry for coordination + take-offs",S2P COM 300,Service,0
S2P,Scan2Plan Commercial - LoD 300 (EXT-ONLY),"Scan2Plan Commercial Service for the property located at ______ _____ Scan2Plan will provide BIM existing conditions documentation for the _________ sqft building. Includes exterior LiDAR point cloud capture, registration, modeling, QC and project management. Scanning and delivery times depend on the total area scanned and modeled. Deliverables include: • Total Square Footage Audit • Colorized Point Cloud (.rcp format) • LoD 300 Revit Model (Accurate Geometry / Construction‑Ready) Project Type: Renovations, Retrofits, Purpose: Accurate geometry for coordination + take-offs",S2P COM EXT 300,Service,0
S2P,Scan2Plan Commercial - LoD 300 (INT-ONLY),"Scan2Plan Commercial Service for the property located at ______ _____ Scan2Plan will provide BIM existing conditions documentation for the _________ sqft building. Includes interior LiDAR point cloud capture, registration, modeling, QC and project management. Scanning and delivery times depend on the total area scanned and modeled. Deliverables include: • Total Square Footage Audit • Colorized Point Cloud (.rcp format) • LoD 300 Revit Model (Accurate Geometry / Construction‑Ready) Project Type: Renovations, Retrofits, Purpose: Accurate geometry for coordination + take-offs",S2P COM INT 300,Service,0
S2P,Scan2Plan Commercial - LoD 350,"Scan2Plan Commercial Service for the property located at ______ _____ Scan2Plan will provide BIM existing conditions documentation for the _________ sqft building. Includes interior and exterior LiDAR point cloud capture, registration, modeling, QC and project management. Scanning and delivery times depend on the total area scanned and modeled. Deliverables include: • Total Square Footage Audit • Colorized Point Cloud (.rcp format) • LoD 350 Revit Model (Precise Geometry / Specialized Detail) Project Type: Historic Preservation, Adaptive Reuse Purpose: Detail-rich model for clash detection + fabrication-level planning",S2P COM 350,Service,0
S2P,Scan2Plan Commercial - LoD 350 (EXT-ONLY),"Scan2Plan Commercial Service for the property located at ______ _____ Scan2Plan will provide BIM existing conditions documentation for the _________ sqft building. Includes exterior LiDAR point cloud capture, registration, modeling, QC and project management. Scanning and delivery times depend on the total area scanned and modeled. Deliverables include: • Total Square Footage Audit • Colorized Point Cloud (.rcp format) • LoD 350 Revit Model (Precise Geometry / Specialized Detail) Project Type: Historic Preservation, Adaptive Reuse Purpose: Detail-rich model for clash detection + fabrication-level planning",S2P COM EXT 350,Service,0
S2P,Scan2Plan Commercial - LoD 350 (INT-ONLY),"Scan2Plan Commercial Service for the property located at ______ _____ Scan2Plan will provide BIM existing conditions documentation for the _________ sqft building. Includes interior LiDAR point cloud capture, registration, modeling, QC and project management. Scanning and delivery times depend on the total area scanned and modeled. Deliverables include: • Total Square Footage Audit • Colorized Point Cloud (.rcp format) • LoD 350 Revit Model (Precise Geometry / Specialized Detail) Project Type: Historic Preservation, Adaptive Reuse Purpose: Detail-rich model for clash detection + fabrication-level planning",S2P COM INT 350,Service,0
S2P,Scan2Plan Residential - LoD 200,"Scan2Plan Residential Service for the property located at ______ _____ Scan2Plan will provide BIM existing conditions documentation for the _________ sqft residence. Includes interior and exterior LiDAR point cloud capture, registration, modeling, QC and project management. Scanning and delivery times depend on the total area scanned and modeled. Deliverables include: • Total Square Footage Audit • Colorized Point Cloud (.rcp format) • LoD 200 Revit Model - (Approximate Geometry / Schematic Level) Project Type: Feasibility, Concept Design, Permits, Purpose: Diagrammatic geometry, spatial validation",S2P RES 200,Service,0
S2P,Scan2Plan Residential - LoD 200 (EXT-ONLY),"Scan2Plan Residential Service for the property located at ______ _____ Scan2Plan will provide BIM existing conditions documentation for the _________ sqft residence. Includes exterior LiDAR point cloud capture, registration, modeling, QC and project management. Scanning and delivery times depend on the total area scanned and modeled. Deliverables include: • Total Square Footage Audit • Colorized Point Cloud (.rcp format) • LoD 200 Revit Model - (Approximate Geometry / Schematic Level) Project Type: Feasibility, Concept Design, Permits, Purpose: Diagrammatic geometry, spatial validation",S2P RES EXT 200,Service,0
S2P,Scan2Plan Residential - LoD 200 (INT-ONLY),"Scan2Plan Residential Service for the property located at ______ _____ Scan2Plan will provide BIM existing conditions documentation for the _________ sqft residence. Includes interior LiDAR point cloud capture, registration, modeling, QC and project management. Scanning and delivery times depend on the total area scanned and modeled. Deliverables include: • Total Square Footage Audit • Colorized Point Cloud (.rcp format) • LoD 200 Revit Model - (Approximate Geometry / Schematic Level) Project Type: Feasibility, Concept Design, Permits, Purpose: Diagrammatic geometry, spatial validation",S2P RES INT 200,Service,0
S2P,Scan2Plan Residential - LoD 300,"Scan2Plan Residential Service for the property located at ______ _____ Scan2Plan will provide BIM existing conditions documentation for the _________ sqft residence. Includes interior and exterior LiDAR point cloud capture, registration, modeling, QC and project management. Scanning and delivery times depend on the total area scanned and modeled. Deliverables include: • Total Square Footage Audit • Colorized Point Cloud (.rcp format) • LoD 300 Revit Model (Accurate Geometry / Construction‑Ready) Project Type: Renovations, Retrofits, Purpose: Accurate geometry for coordination + take-offs",S2P RES 300,Service,0
S2P,Scan2Plan Residential - LoD 300 (EXT-ONLY),"Scan2Plan Residential Service for the property located at ______ _____ Scan2Plan will provide BIM existing conditions documentation for the _________ sqft residence. Includes exterior LiDAR point cloud capture, registration, modeling, QC and project management. Scanning and delivery times depend on the total area scanned and modeled. Deliverables include: • Total Square Footage Audit • Colorized Point Cloud (.rcp format) • LoD 300 Revit Model (Accurate Geometry / Construction‑Ready) Project Type: Renovations, Retrofits, Purpose: Accurate geometry for coordination + take-offs",S2P RES EXT 300,Service,0
S2P,Scan2Plan Residential - LoD 300 (INT-ONLY),"Scan2Plan Residential Service for the property located at ______ _____ Scan2Plan will provide BIM existing conditions documentation for the _________ sqft residence. Includes interior LiDAR point cloud capture, registration, modeling, QC and project management. Scanning and delivery times depend on the total area scanned and modeled. Deliverables include: • Total Square Footage Audit • Colorized Point Cloud (.rcp format) • LoD 300 Revit Model (Accurate Geometry / Construction‑Ready) Project Type: Renovations, Retrofits, Purpose: Accurate geometry for coordination + take-offs",S2P RES INT 300,Service,0
S2P,Scan2Plan Residential - LoD 350,"Scan2Plan Residential Service for the property located at ______ _____ Scan2Plan will provide BIM existing conditions documentation for the _________ sqft residence. Includes interior and exterior LiDAR point cloud capture, registration, modeling, QC and project management. Scanning and delivery times depend on the total area scanned and modeled. Deliverables include: • Total Square Footage Audit • Colorized Point Cloud (.rcp format) • LoD 350 Revit Model (Precise Geometry / Specialized Detail) Project Type: Historic Preservation, Adaptive Reuse Purpose: Detail-rich model for clash detection + fabrication-level planning",S2P RES 350,Service,0
S2P,Scan2Plan Residential - LoD 350 (EXT-ONLY),"Scan2Plan Residential Service for the property located at ______ _____ Scan2Plan will provide BIM existing conditions documentation for the _________ sqft residence. Includes exterior LiDAR point cloud capture, registration, modeling, QC and project management. Scanning and delivery times depend on the total area scanned and modeled. Deliverables include: • Total Square Footage Audit • Colorized Point Cloud (.rcp format) • LoD 350 Revit Model (Precise Geometry / Specialized Detail) Project Type: Historic Preservation, Adaptive Reuse Purpose: Detail-rich model for clash detection + fabrication-level planning",S2P RES EXT 350,Service,0
S2P,Scan2Plan Residential - LoD 350 (INT-ONLY),"Scan2Plan Residential Service for the property located at ______ _____ Scan2Plan will provide BIM existing conditions documentation for the _________ sqft residence. Includes interior LiDAR point cloud capture, registration, modeling, QC and project management. Scanning and delivery times depend on the total area scanned and modeled. Deliverables include: • Total Square Footage Audit • Colorized Point Cloud (.rcp format) • LoD 350 Revit Model (Precise Geometry / Specialized Detail) Project Type: Historic Preservation, Adaptive Reuse Purpose: Detail-rich model for clash detection + fabrication-level planning",S2P RES INT 350,Service,0
Inactivate per Owen 11/12,Annotations (1hr),,,Service,0
Inactivate per Owen 11/12,ArcGIS Conversion,,,Service,0
Inactivate per Owen 11/12,Archicad Model,Modeled natively in Archicad.,ArchiCAD Conversion,Non-Inventory,0
Inactivate per Owen 11/12,BOMA Measurement Chart,,,Service,0
Inactivate per Owen 11/12,CAD door & window schedules,,,Service,0
Inactivate per Owen 11/12,CAD Reflected Ceiling Plan(s) LoD 200,A set of architectural drawings (.dwg & .pdf) delivered in Scan2Plan’s LoD 200 CAD standard.. Deliverables include: • Reflected Ceiling Plan(s),,Service,0
Inactivate per Owen 11/12,CAD Reflected Ceiling Plan(s) LoD 300,A set of architectural drawings (.dwg & .pdf) delivered in Scan2Plan’s LoD 300 CAD standard. Deliverables include: • Reflected Ceiling Plan(s),,Service,0
Inactivate per Owen 11/12,CAD Reflected Ceiling Plan(s) LoD 350,A set of architectural drawings (.dwg & .pdf) delivered in Scan2Plan’s LoD 350 CAD standard. Deliverables include: • Reflected Ceiling Plan(s),,Service,0
Inactivate per Owen 11/12,CAD-to-BIM,Coordination of CAD Files into Revit Model,,Service,0
Inactivate per Owen 11/12,Coordination,,,Service,0
Inactivate per Owen 11/12,Credit,,PM CRED,Service,0
Inactivate per Owen 11/12,Custom Floor Plan,,,Service,0
Inactivate per Owen 11/12,Drone Service,,,Service,0
Inactivate per Owen 11/12,Estimated 50% due at project completion,,,Service,0
Inactivate per Owen 11/12,Exposed Ceilings,"Any visible structural details of exposed ceilings will be included . Specific size, shape, location, and orientation will be indicated. Includes scanning above ceiling tile, where appropriate.",Exposed Ceilings,Non-Inventory,0
Inactivate per Owen 11/12,FEA Model,"3D FEA element model compatible with SAP2000 (latest version) finite element analysis (FEA) modeling software (and other software listed below). a) A fine mesh model that follows the scanned point cloud data of the interior and exterior surfaces. Computed mesh should be a minimum of 1⁄4” deviation from point cloud scan. Mesh should be relatively small to capture the subtle differences of the as-built surface, with mesh vertices being approximately 3” maximum. b) A larger/structural analysis mesh that is an “average” between the interior and exterior surfaces. Mesh should be comprised of triangles with the following characteristics: i. The vertices of mesh faces are to be connected ii. Edge of each mesh face to be a maximum length of 3’-0” iii. Angle between mesh edges to between 50 degrees and 70 degrees. iv. Be exportable to a .DXF format.",,Service,0
Inactivate per Owen 11/12,Floor Plans,,,Service,0
Inactivate per Owen 11/12,Floor Plans and Photos,,,Service,0
Inactivate per Owen 11/12,Furniture Modeling,,,Service,0
Inactivate per Owen 11/12,Hours,,,Service,0
Inactivate per Owen 11/12,Insurance Costs,Insurance Costs,Insurance Costs,Non-Inventory,0
Inactivate per Owen 11/12,LoD Standard Upgrade,Upgrade from Scan2Plan’s LoD ___ Standard to LoD ___ Standard,LoD Standard Upgrade,Non-Inventory,0
Inactivate per Owen 11/12,Paper-to-BIM,,,Service,0
Inactivate per Owen 11/12,Photo Gallery,,,Service,0
Inactivate per Owen 11/12,Photogrammetry Survey,,,Service,0
Inactivate per Owen 11/12,Prevue3D,,,Service,0
Inactivate per Owen 11/12,Rejected bank transfer,Bank transfer payment received rejected by the bank,,Service,0
Inactivate per Owen 11/12,Reshoot,,,Service,0
Inactivate per Owen 11/12,Roadway & Airfield,Roadway & Airfield,Roadway & Airfield,Non-Inventory,0
Inactivate per Owen 11/12,Scan2Plan Commercial - BOMA Package,"Scan2Plan Commercial Service for the property located at ______ _____ Scan2Plan will provide BIM / CAD existing conditions documentation for the _________ sqft building. Includes interior LiDAR point cloud capture, registration, modeling, drafting, QC and project management. Scanning and delivery times depend on the total area scanned and modeled. Deliverables include: • Total Square Footage Audit • Colorized Point Cloud (.rcp format) • LoD 200 Revit Model (for BOMA calculations, floors, walls, doors only) • CAD Floor Plan • BOMA measurements chart",,Non-Inventory,0
Inactivate per Owen 11/12,Scan2Plan Commercial - LoD 100,"Scan2Plan Commercial Service for the property located at ______ _____ Scan2Plan will provide BIM existing conditions documentation for the _________ sqft building. Includes interior and exterior LiDAR point cloud capture, registration, modeling, QC and project management. Scanning and delivery times depend on the total area scanned and modeled. Deliverables include: • Total Square Footage Audit • Colorized Point Cloud (.rcp format) • LoD 100 Revit Model",Scan2Plan Commercial LoD 100,Service,0.1
Inactivate per Owen 11/12,Scan2Plan Commercial Service - LoD 350+,"Scan2Plan Commercial Service for the property located at Rockland County Courthouse 1 S Main St, New City, NY 10956 Scan2Plan will provide BIM existing conditions documentation for the 100,000 sqft building. Includes interior and exterior LiDAR point cloud capture, registration, modeling, QC and project management. Scanning and delivery times depend on the total area scanned and modeled. Deliverables include: • Total Square Footage Audit • Colorized Point Cloud (.rcp format) • LoD 350+ Revit Model",,Service,0
Inactivate per Owen 11/12,Scan2Plan Express,,,Service,0
Inactivate per Owen 11/12,Scan-to-CAD - LoD 200,"Scan-to-CAD Service for the property located at ______ _____ Scan2Plan will provide BIM existing conditions documentation for the _________ sqft residence. Includes interior and exterior LiDAR point cloud capture, registration, drafting, QC and project management. Scanning and delivery times depend on the total area scanned and modeled. Deliverables include: • Total Square Footage Audit • Colorized Point Cloud (.rcp format) • A set of architectural drawings (.dwg & .pdf) delivered in Scan2Plan’s LoD 200 CAD standard. - Floor Plans - Up to 4 sections or interior elevations - Exterior Elevations - Roof Plan",,Service,0
Inactivate per Owen 11/12,Scan-to-CAD - LoD 300,"Scan-to-CAD Service for the property located at ______ _____ Scan2Plan will provide BIM existing conditions documentation for the _________ sqft residence. Includes interior and exterior LiDAR point cloud capture, registration, drafting, QC and project management. Scanning and delivery times depend on the total area scanned and modeled. Deliverables include: • Total Square Footage Audit • Colorized Point Cloud (.rcp format) • A set of architectural drawings (.dwg & .pdf) delivered in Scan2Plan’s LoD 300 CAD standard. - Floor Plans - Up to 4 sections or interior elevations - Exterior Elevations - Roof Plan",,Service,0
Inactivate per Owen 11/12,Service,Service,Service,Non-Inventory,0
Inactivate per Owen 11/12,Services,,,Service,0
Inactivate per Owen 11/12,Site and Pool,Site and Pool,Site and Pool,Non-Inventory,0
Inactivate per Owen 11/12,Travel,Travel,Travel,Non-Inventory,0