Discipline →,Revit to CAD Conversion,,,Additional Interior Elevation or Section,,
Area ↓,Architecture,Architecture + Structure,Architecture + Structure + MEPF + Site,,Amount,Price per
0-5k,0.100,0.110,0.140,,1-10,$25.00
5k-10k,0.080,0.090,0.100,,10-20,$20.00
10k-20k,0.050,0.060,0.070,,20-100,$15.00
20k-30k,0.040,0.050,0.060,,100-300,$10.00
30k-40k,0.040,0.050,0.044,,300+,$5.00
40k-50k,0.036,0.040,0.044,,,
50k-75k,0.032,0.030,0.040,,,
75k-100k,0.032,0.030,0.036,,,
100k+,0.024,0.028,0.030,,,