"id","building_type_id","area_tier","package_type","rate_per_sq_ft","updated_at"
"1","1","0-5k","basic_architecture","0.100","""2025-10-22T20:28:47.639Z"""
"2","1","0-5k","a_s_site","0.110","""2025-10-22T19:15:19.229Z"""
"3","1","0-5k","a_s_mep_site","0.140","""2025-10-22T19:15:19.229Z"""
"4","1","5k-10k","basic_architecture","0.080","""2025-10-22T19:15:19.229Z"""
"5","1","5k-10k","a_s_site","0.090","""2025-10-22T19:15:19.229Z"""
"6","1","5k-10k","a_s_mep_site","0.100","""2025-10-22T19:15:19.229Z"""
"7","1","10k-20k","basic_architecture","0.050","""2025-10-22T19:15:19.229Z"""
"8","1","10k-20k","a_s_site","0.060","""2025-10-22T19:15:19.229Z"""
"9","1","10k-20k","a_s_mep_site","0.070","""2025-10-22T19:15:19.229Z"""
"10","1","20k-30k","basic_architecture","0.040","""2025-10-22T19:15:19.229Z"""
"11","1","20k-30k","a_s_site","0.050","""2025-10-22T19:15:19.229Z"""
"12","1","20k-30k","a_s_mep_site","0.060","""2025-10-22T19:15:19.229Z"""
"13","1","30k-40k","basic_architecture","0.040","""2025-10-22T19:15:19.229Z"""
"14","1","30k-40k","a_s_site","0.050","""2025-10-22T19:15:19.229Z"""
"15","1","30k-40k","a_s_mep_site","0.044","""2025-10-22T19:15:19.229Z"""
"16","1","40k-50k","basic_architecture","0.036","""2025-10-22T19:15:19.229Z"""
"17","1","40k-50k","a_s_site","0.040","""2025-10-22T19:15:19.229Z"""
"18","1","40k-50k","a_s_mep_site","0.044","""2025-10-22T19:15:19.229Z"""
"19","1","50k-75k","basic_architecture","0.032","""2025-10-22T19:15:19.229Z"""
"20","1","50k-75k","a_s_site","0.030","""2025-10-22T19:15:19.229Z"""
"21","1","50k-75k","a_s_mep_site","0.040","""2025-10-22T19:15:19.229Z"""
"22","1","75k-100k","basic_architecture","0.032","""2025-10-22T19:15:19.229Z"""
"23","1","75k-100k","a_s_site","0.030","""2025-10-22T19:15:19.229Z"""
"24","1","75k-100k","a_s_mep_site","0.036","""2025-10-22T19:15:19.229Z"""
"25","1","100k+","basic_architecture","0.024","""2025-10-22T19:15:19.229Z"""
"26","1","100k+","a_s_site","0.028","""2025-10-22T19:15:19.229Z"""
"27","1","100k+","a_s_mep_site","0.030","""2025-10-22T19:15:19.229Z"""
"28","2","0-5k","basic_architecture","0.100","""2025-10-22T19:15:19.229Z"""
"29","2","0-5k","a_s_site","0.110","""2025-10-22T19:15:19.229Z"""
"30","2","0-5k","a_s_mep_site","0.140","""2025-10-22T19:15:19.229Z"""
"31","2","5k-10k","basic_architecture","0.080","""2025-10-22T19:15:19.229Z"""
"32","2","5k-10k","a_s_site","0.090","""2025-10-22T19:15:19.229Z"""
"33","2","5k-10k","a_s_mep_site","0.100","""2025-10-22T19:15:19.229Z"""
"34","2","10k-20k","basic_architecture","0.050","""2025-10-22T19:15:19.229Z"""
"35","2","10k-20k","a_s_site","0.060","""2025-10-22T19:15:19.229Z"""
"36","2","10k-20k","a_s_mep_site","0.070","""2025-10-22T19:15:19.229Z"""
"37","2","20k-30k","basic_architecture","0.040","""2025-10-22T19:15:19.229Z"""
"38","2","20k-30k","a_s_site","0.050","""2025-10-22T19:15:19.229Z"""
"39","2","20k-30k","a_s_mep_site","0.060","""2025-10-22T19:15:19.229Z"""
"40","2","30k-40k","basic_architecture","0.040","""2025-10-22T19:15:19.229Z"""
"41","2","30k-40k","a_s_site","0.050","""2025-10-22T19:15:19.229Z"""
"42","2","30k-40k","a_s_mep_site","0.044","""2025-10-22T19:15:19.229Z"""
"43","2","40k-50k","basic_architecture","0.036","""2025-10-22T19:15:19.229Z"""
"44","2","40k-50k","a_s_site","0.040","""2025-10-22T19:15:19.229Z"""
"45","2","40k-50k","a_s_mep_site","0.044","""2025-10-22T19:15:19.229Z"""
"46","2","50k-75k","basic_architecture","0.032","""2025-10-22T19:15:19.229Z"""
"47","2","50k-75k","a_s_site","0.030","""2025-10-22T19:15:19.229Z"""
"48","2","50k-75k","a_s_mep_site","0.040","""2025-10-22T19:15:19.229Z"""
"49","2","75k-100k","basic_architecture","0.032","""2025-10-22T19:15:19.229Z"""
"50","2","75k-100k","a_s_site","0.030","""2025-10-22T19:15:19.229Z"""
"51","2","75k-100k","a_s_mep_site","0.036","""2025-10-22T19:15:19.229Z"""
"52","2","100k+","basic_architecture","0.024","""2025-10-22T19:15:19.229Z"""
"53","2","100k+","a_s_site","0.028","""2025-10-22T19:15:19.229Z"""
"54","2","100k+","a_s_mep_site","0.030","""2025-10-22T19:15:19.229Z"""
"55","3","0-5k","basic_architecture","0.100","""2025-10-22T19:15:19.229Z"""
"56","3","0-5k","a_s_site","0.110","""2025-10-22T19:15:19.229Z"""
"57","3","0-5k","a_s_mep_site","0.140","""2025-10-22T19:15:19.229Z"""
"58","3","5k-10k","basic_architecture","0.080","""2025-10-22T19:15:19.229Z"""
"59","3","5k-10k","a_s_site","0.090","""2025-10-22T19:15:19.229Z"""
"60","3","5k-10k","a_s_mep_site","0.100","""2025-10-22T19:15:19.229Z"""
"61","3","10k-20k","basic_architecture","0.050","""2025-10-22T19:15:19.229Z"""
"62","3","10k-20k","a_s_site","0.060","""2025-10-22T19:15:19.229Z"""
"63","3","10k-20k","a_s_mep_site","0.070","""2025-10-22T19:15:19.229Z"""
"64","3","20k-30k","basic_architecture","0.040","""2025-10-22T19:15:19.229Z"""
"65","3","20k-30k","a_s_site","0.050","""2025-10-22T19:15:19.229Z"""
"66","3","20k-30k","a_s_mep_site","0.060","""2025-10-22T19:15:19.229Z"""
"67","3","30k-40k","basic_architecture","0.040","""2025-10-22T19:15:19.229Z"""
"68","3","30k-40k","a_s_site","0.050","""2025-10-22T19:15:19.229Z"""
"69","3","30k-40k","a_s_mep_site","0.044","""2025-10-22T19:15:19.229Z"""
"70","3","40k-50k","basic_architecture","0.036","""2025-10-22T19:15:19.229Z"""
"71","3","40k-50k","a_s_site","0.040","""2025-10-22T19:15:19.229Z"""
"72","3","40k-50k","a_s_mep_site","0.044","""2025-10-22T19:15:19.229Z"""
"73","3","50k-75k","basic_architecture","0.032","""2025-10-22T19:15:19.229Z"""
"74","3","50k-75k","a_s_site","0.030","""2025-10-22T19:15:19.229Z"""
"75","3","50k-75k","a_s_mep_site","0.040","""2025-10-22T19:15:19.229Z"""
"76","3","75k-100k","basic_architecture","0.032","""2025-10-22T19:15:19.229Z"""
"77","3","75k-100k","a_s_site","0.030","""2025-10-22T19:15:19.229Z"""
"78","3","75k-100k","a_s_mep_site","0.036","""2025-10-22T19:15:19.229Z"""
"79","3","100k+","basic_architecture","0.024","""2025-10-22T19:15:19.229Z"""
"80","3","100k+","a_s_site","0.028","""2025-10-22T19:15:19.229Z"""
"81","3","100k+","a_s_mep_site","0.030","""2025-10-22T19:15:19.229Z"""
"82","4","0-5k","basic_architecture","0.100","""2025-10-22T19:15:19.229Z"""
"83","4","0-5k","a_s_site","0.110","""2025-10-22T19:15:19.229Z"""
"84","4","0-5k","a_s_mep_site","0.140","""2025-10-22T19:15:19.229Z"""
"85","4","5k-10k","basic_architecture","0.080","""2025-10-22T19:15:19.229Z"""
"86","4","5k-10k","a_s_site","0.090","""2025-10-22T19:15:19.229Z"""
"87","4","5k-10k","a_s_mep_site","0.100","""2025-10-22T19:15:19.229Z"""
"88","4","10k-20k","basic_architecture","0.050","""2025-10-22T19:15:19.229Z"""
"89","4","10k-20k","a_s_site","0.060","""2025-10-22T19:15:19.229Z"""
"90","4","10k-20k","a_s_mep_site","0.070","""2025-10-22T19:15:19.229Z"""
"91","4","20k-30k","basic_architecture","0.040","""2025-10-22T19:15:19.229Z"""
"92","4","20k-30k","a_s_site","0.050","""2025-10-22T19:15:19.229Z"""
"93","4","20k-30k","a_s_mep_site","0.060","""2025-10-22T19:15:19.229Z"""
"94","4","30k-40k","basic_architecture","0.040","""2025-10-22T19:15:19.229Z"""
"95","4","30k-40k","a_s_site","0.050","""2025-10-22T19:15:19.229Z"""
"96","4","30k-40k","a_s_mep_site","0.044","""2025-10-22T19:15:19.229Z"""
"97","4","40k-50k","basic_architecture","0.036","""2025-10-22T19:15:19.229Z"""
"98","4","40k-50k","a_s_site","0.040","""2025-10-22T19:15:19.229Z"""
"99","4","40k-50k","a_s_mep_site","0.044","""2025-10-22T19:15:19.229Z"""
"100","4","50k-75k","basic_architecture","0.032","""2025-10-22T19:15:19.229Z"""
"101","4","50k-75k","a_s_site","0.030","""2025-10-22T19:15:19.229Z"""
"102","4","50k-75k","a_s_mep_site","0.040","""2025-10-22T19:15:19.229Z"""
"103","4","75k-100k","basic_architecture","0.032","""2025-10-22T19:15:19.229Z"""
"104","4","75k-100k","a_s_site","0.030","""2025-10-22T19:15:19.229Z"""
"105","4","75k-100k","a_s_mep_site","0.036","""2025-10-22T19:15:19.229Z"""
"106","4","100k+","basic_architecture","0.024","""2025-10-22T19:15:19.229Z"""
"107","4","100k+","a_s_site","0.028","""2025-10-22T19:15:19.229Z"""
"108","4","100k+","a_s_mep_site","0.030","""2025-10-22T19:15:19.229Z"""
"109","5","0-5k","basic_architecture","0.100","""2025-10-22T19:15:19.229Z"""
"110","5","0-5k","a_s_site","0.110","""2025-10-22T19:15:19.229Z"""
"111","5","0-5k","a_s_mep_site","0.140","""2025-10-22T19:15:19.229Z"""
"112","5","5k-10k","basic_architecture","0.080","""2025-10-22T19:15:19.229Z"""
"113","5","5k-10k","a_s_site","0.090","""2025-10-22T19:15:19.229Z"""
"114","5","5k-10k","a_s_mep_site","0.100","""2025-10-22T19:15:19.229Z"""
"115","5","10k-20k","basic_architecture","0.050","""2025-10-22T19:15:19.229Z"""
"116","5","10k-20k","a_s_site","0.060","""2025-10-22T19:15:19.229Z"""
"117","5","10k-20k","a_s_mep_site","0.070","""2025-10-22T19:15:19.229Z"""
"118","5","20k-30k","basic_architecture","0.040","""2025-10-22T19:15:19.229Z"""
"119","5","20k-30k","a_s_site","0.050","""2025-10-22T19:15:19.229Z"""
"120","5","20k-30k","a_s_mep_site","0.060","""2025-10-22T19:15:19.229Z"""
"121","5","30k-40k","basic_architecture","0.040","""2025-10-22T19:15:19.229Z"""
"122","5","30k-40k","a_s_site","0.050","""2025-10-22T19:15:19.229Z"""
"123","5","30k-40k","a_s_mep_site","0.044","""2025-10-22T19:15:19.229Z"""
"124","5","40k-50k","basic_architecture","0.036","""2025-10-22T19:15:19.229Z"""
"125","5","40k-50k","a_s_site","0.040","""2025-10-22T19:15:19.229Z"""
"126","5","40k-50k","a_s_mep_site","0.044","""2025-10-22T19:15:19.229Z"""
"127","5","50k-75k","basic_architecture","0.032","""2025-10-22T19:15:19.229Z"""
"128","5","50k-75k","a_s_site","0.030","""2025-10-22T19:15:19.229Z"""
"129","5","50k-75k","a_s_mep_site","0.040","""2025-10-22T19:15:19.229Z"""
"130","5","75k-100k","basic_architecture","0.032","""2025-10-22T19:15:19.229Z"""
"131","5","75k-100k","a_s_site","0.030","""2025-10-22T19:15:19.229Z"""
"132","5","75k-100k","a_s_mep_site","0.036","""2025-10-22T19:15:19.229Z"""
"133","5","100k+","basic_architecture","0.024","""2025-10-22T19:15:19.229Z"""
"134","5","100k+","a_s_site","0.028","""2025-10-22T19:15:19.229Z"""
"135","5","100k+","a_s_mep_site","0.030","""2025-10-22T19:15:19.229Z"""
"136","6","0-5k","basic_architecture","0.100","""2025-10-22T19:15:19.229Z"""
"137","6","0-5k","a_s_site","0.110","""2025-10-22T19:15:19.229Z"""
"138","6","0-5k","a_s_mep_site","0.140","""2025-10-22T19:15:19.229Z"""
"139","6","5k-10k","basic_architecture","0.080","""2025-10-22T19:15:19.229Z"""
"140","6","5k-10k","a_s_site","0.090","""2025-10-22T19:15:19.229Z"""
"141","6","5k-10k","a_s_mep_site","0.100","""2025-10-22T19:15:19.229Z"""
"142","6","10k-20k","basic_architecture","0.050","""2025-10-22T19:15:19.229Z"""
"143","6","10k-20k","a_s_site","0.060","""2025-10-22T19:15:19.229Z"""
"144","6","10k-20k","a_s_mep_site","0.070","""2025-10-22T19:15:19.229Z"""
"145","6","20k-30k","basic_architecture","0.040","""2025-10-22T19:15:19.229Z"""
"146","6","20k-30k","a_s_site","0.050","""2025-10-22T19:15:19.229Z"""
"147","6","20k-30k","a_s_mep_site","0.060","""2025-10-22T19:15:19.229Z"""
"148","6","30k-40k","basic_architecture","0.040","""2025-10-22T19:15:19.229Z"""
"149","6","30k-40k","a_s_site","0.050","""2025-10-22T19:15:19.229Z"""
"150","6","30k-40k","a_s_mep_site","0.044","""2025-10-22T19:15:19.229Z"""
"151","6","40k-50k","basic_architecture","0.036","""2025-10-22T19:15:19.229Z"""
"152","6","40k-50k","a_s_site","0.040","""2025-10-22T19:15:19.229Z"""
"153","6","40k-50k","a_s_mep_site","0.044","""2025-10-22T19:15:19.229Z"""
"154","6","50k-75k","basic_architecture","0.032","""2025-10-22T19:15:19.229Z"""
"155","6","50k-75k","a_s_site","0.030","""2025-10-22T19:15:19.229Z"""
"156","6","50k-75k","a_s_mep_site","0.040","""2025-10-22T19:15:19.229Z"""
"157","6","75k-100k","basic_architecture","0.032","""2025-10-22T19:15:19.229Z"""
"158","6","75k-100k","a_s_site","0.030","""2025-10-22T19:15:19.229Z"""
"159","6","75k-100k","a_s_mep_site","0.036","""2025-10-22T19:15:19.229Z"""
"160","6","100k+","basic_architecture","0.024","""2025-10-22T19:15:19.229Z"""
"161","6","100k+","a_s_site","0.028","""2025-10-22T19:15:19.229Z"""
"162","6","100k+","a_s_mep_site","0.030","""2025-10-22T19:15:19.229Z"""
"163","11","0-5k","basic_architecture","0.100","""2025-10-22T19:15:19.229Z"""
"164","11","0-5k","a_s_site","0.110","""2025-10-22T19:15:19.229Z"""
"165","11","0-5k","a_s_mep_site","0.140","""2025-10-22T19:15:19.229Z"""
"166","11","5k-10k","basic_architecture","0.080","""2025-10-22T19:15:19.229Z"""
"167","11","5k-10k","a_s_site","0.090","""2025-10-22T19:15:19.229Z"""
"168","11","5k-10k","a_s_mep_site","0.100","""2025-10-22T19:15:19.229Z"""
"169","11","10k-20k","basic_architecture","0.050","""2025-10-22T19:15:19.229Z"""
"170","11","10k-20k","a_s_site","0.060","""2025-10-22T19:15:19.229Z"""
"171","11","10k-20k","a_s_mep_site","0.070","""2025-10-22T19:15:19.229Z"""
"172","11","20k-30k","basic_architecture","0.040","""2025-10-22T19:15:19.229Z"""
"173","11","20k-30k","a_s_site","0.050","""2025-10-22T19:15:19.229Z"""
"174","11","20k-30k","a_s_mep_site","0.060","""2025-10-22T19:15:19.229Z"""
"175","11","30k-40k","basic_architecture","0.040","""2025-10-22T19:15:19.229Z"""
"176","11","30k-40k","a_s_site","0.050","""2025-10-22T19:15:19.229Z"""
"177","11","30k-40k","a_s_mep_site","0.044","""2025-10-22T19:15:19.229Z"""
"178","11","40k-50k","basic_architecture","0.036","""2025-10-22T19:15:19.229Z"""
"179","11","40k-50k","a_s_site","0.040","""2025-10-22T19:15:19.229Z"""
"180","11","40k-50k","a_s_mep_site","0.044","""2025-10-22T19:15:19.229Z"""
"181","11","50k-75k","basic_architecture","0.032","""2025-10-22T19:15:19.229Z"""
"182","11","50k-75k","a_s_site","0.030","""2025-10-22T19:15:19.229Z"""
"183","11","50k-75k","a_s_mep_site","0.040","""2025-10-22T19:15:19.229Z"""
"184","11","75k-100k","basic_architecture","0.032","""2025-10-22T19:15:19.229Z"""
"185","11","75k-100k","a_s_site","0.030","""2025-10-22T19:15:19.229Z"""
"186","11","75k-100k","a_s_mep_site","0.036","""2025-10-22T19:15:19.229Z"""
"187","11","100k+","basic_architecture","0.024","""2025-10-22T19:15:19.229Z"""
"188","11","100k+","a_s_site","0.028","""2025-10-22T19:15:19.229Z"""
"189","11","100k+","a_s_mep_site","0.030","""2025-10-22T19:15:19.229Z"""